job_id,iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
308,2,5.836653766847589e-05,0.1979047693785841,8077.816140538764,2.0,4.599072787875801e-07,2.75e-06,0.02100000688282864,0.00551446307784437,0.0006315858906938086,0.00023796900336693505,2.88093955392958e-05
308,3,0.00010330081577916663,0.2847302194115232,9883.574409024925,3.0,4.6023520250614243e-07,2.75e-06,0.02025310338541584,0.006149254258776858,0.003347465418843943,0.00019751512740049968,4.200451882788401e-05
308,4,4.591073242755198e-05,0.2089413244212341,18235.151676282483,3.0,4.734500633961211e-07,2.75e-06,0.04379191876689096,0.005845279400299133,0.00048056986915354555,0.000252224585846421,3.124991947573033e-05
309,0,0.00024428840883061764,0.2432080085629606,13226.767080238162,2.0,4.6974283019408883e-07,2.75e-06,0.03201719146818572,0.010132385404619325,0.008815236770002975,0.00019651325849431433,7.216661132795736e-05
309,1,8.344388330321882e-05,0.009565660721486811,19062.599702076568,2.0,4.586094245272811e-07,2.75e-06,0.025703458389244996,0.022592323152141918,0.0035705260495691557,0.00019437324174810587,2.9350370877597495e-05
309,2,0.0001483601391434383,0.20982925724050383,15477.713469843051,1.0,4.6707859129650446e-07,2.75e-06,0.023437156432425058,0.0066700040022432,0.0040365374394785965,0.00014398730679377443,3.5265247962181226e-05
309,3,6.425920211207841e-05,0.07232236129607868,6787.892337560713,3.0,4.6220460307312374e-07,2.75e-06,0.020459438336568752,0.01232955803777837,0.002406894794376336,0.00014785729146226124,3.4814492090869845e-05
309,4,0.001254463390139609,0.2676759399553584,7881.394029850342,3.0,4.6682666964537213e-07,2.75e-06,0.05817385719017151,0.0618394700333996,0.034275678360250035,0.00024041021717139278,0.0006594250480869709
310,0,0.00022322672997077066,0.29342672940602527,16040.355522981894,2.0,4.7409517150424316e-07,2.75e-06,0.037574935213632775,0.008576621437962078,0.006829994412195552,0.00023924073736237596,5.2994684779581924e-05
310,1,0.0003488943407899379,0.1707431448842043,9090.647927953829,2.0,4.6471317274708587e-07,2.75e-06,0.026623763538970113,0.016665208758625535,0.014137586681918305,0.000200305642576058,0.0001460734152516906
310,2,0.0013115461031431815,0.18089271452415928,24504.975697287355,3.0,4.5931949736719264e-07,2.75e-06,0.036990121631956925,0.023208371924807705,0.010843274963397044,0.00031050193084514746,8.99773389056811e-05
310,3,0.00040917957115559506,0.11159905907321965,2526.503392822362,2.0,4.6368659782591656e-07,2.75e-06,0.08905547231153764,0.07160757848461792,0.05689404451431059,0.0003425646276650582,0.0013175305975171006
310,4,0.0013451826523396564,0.03106924747669285,19734.934651466607,1.0,4.626495606053157e-07,2.75e-06,0.023704362863340888,0.019255861457820937,0.0049202551665568335,0.0001547867535560394,4.442951009576317e-05
311,0,3.704775300935662e-06,0.22153074482723298,12696.568163124428,2.0,4.4950947843752663e-07,2.75e-06,0.027132313507465894,0.005941184652327155,0.0005045030477876794,0.00047374220000764936,3.121685081443434e-05
311,1,1.8780637282384575e-05,0.24998907738076817,17061.643815064323,1.0,4.6183682124690817e-07,2.75e-06,0.023579777920601824,0.006335046539845494,0.0005061782054286667,0.00015544867651332995,3.225843721730853e-05
311,2,4.18542676461679e-05,0.10397525126950385,14039.99082465283,2.0,4.72108653121227e-07,2.75e-06,0.03824224928360307,0.00559658953326241,0.000515857110908444,0.0002081940426781599,3.004523763058905e-05
311,3,4.3021390656443765e-05,0.13925502133806064,19146.560671385432,2.0,4.612539935846316e-07,2.75e-06,0.027897087855687012,0.005777250371962789,0.0004918719233075721,0.00013607792207907406,3.144761750961369e-05
311,4,4.063170774637477e-05,0.036957445066228486,2138.7822258434053,1.0,4.667147450811361e-07,2.75e-06,0.027722761319429176,0.023667972659589632,0.0012789131624453,0.0002137395453752849,7.576444475904741e-05
312,0,5.479477351017283e-05,0.1252848382501431,5916.397070503888,3.0,4.5179191444973363e-07,2.75e-06,0.027813199099701483,0.0076293269086403935,0.00092566987139959,0.0004089553902045312,2.238675996516941e-05
312,1,9.405691930407213e-05,0.279191393981234,4699.415831338723,2.0,4.7379616270969637e-07,2.75e-06,0.028489128650248274,0.007141839699105117,0.004625999217674765,0.00015184196271485545,7.031687489261567e-05
312,2,0.0008414480635424487,0.26336435918811807,22459.45352609487,3.0,4.71131785337739e-07,2.75e-06,0.025915916545769375,0.015402649372845351,0.01085857215258144,0.00015406357066913049,6.778144124539312e-05
312,3,0.00010704356262264698,0.26537251334230316,21753.483836503405,2.0,4.59664651087492e-07,2.75e-06,0.02057275746984288,0.005732509081425513,0.001730510327218402,0.00023969707163158153,3.156286741613813e-05
312,4,8.028506591760244e-05,0.058749918362583774,2240.6040665455885,2.0,4.5899771023715665e-07,2.75e-06,0.057377483697690766,0.03941732689476578,0.020516173250073072,0.00036883671430460726,0.0003900273802434704
313,0,0.0001320378326024767,0.25926154063331736,16212.475650596863,1.0,4.532487426114379e-07,2.75e-06,0.02221928293741256,0.006061378295646437,0.002785264598021874,0.00034564097467870675,3.2068170645753955e-05
313,1,1.9896211140456844e-05,0.1588398000977691,12035.68543993734,3.0,4.6780376604249103e-07,2.75e-06,0.02853436234117218,0.005668465094499887,0.0005091989082967194,0.0001381131793518876,2.9289799751219375e-05
313,2,3.453595640218665e-05,0.22987440406968457,15540.15993126331,2.0,4.650332762631374e-07,2.75e-06,0.02437134440313547,0.006027361195958737,0.00048737157102111424,0.0001460533984423328,3.159980137726094e-05
313,3,1.360275495453065e-05,0.07284282194329451,2004.846041272726,3.0,4.6494611961549394e-07,2.75e-06,0.029334645070782445,0.033132006554634004,0.0006572236752022828,0.00015001459712515452,0.00011160056936538697
313,4,0.00016140333728124036,0.04312673887736579,10248.656288022432,3.0,4.6249875539123616e-07,2.75e-06,0.025642354577997573,0.023043212654433834,0.013932741158697548,0.00015884321821279363,0.000133195417761613
